id,user,user_url,time,url,text,a_id,a_user,a_user_url,a_time,a_url,a_text,att_type,att_url,media_url,ext_url,ext_text,comment_count,toplevel_comment_count,reaction_count,share_count,reactors,like,love,anger,haha,support,sorry,wow
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMTEwNjYxNDEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-07 17:05:00,https://www.facebook.com/borisjohnson/posts/10158211066141317,-,-,-,-,,-,-,Photo,-,https://www.facebook.com/borisjohnson/photos/a.238842266316/10158211055871317/,-,-,2109,1035,8833,327,8833,8335,259,38.0,52.0,114.0,27.0,8.0
UzpfSTc5NzI5OTEzMTY6MjIyMzQ4NjIzNzc4MjE3NQ==,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-05 18:30:51,https://www.facebook.com/borisjohnson/videos/2223486237782175/,"Today I spoke with young people from across the country, to hear about their experiences throughout the pandemic. 

We know that children and young people are incredibly resilient. But we also recognise that there are many who have been struggling. 

That is why we are today announcing a £79 million support package for youth mental health and wellbeing, including the accelerated roll out of Mental Health Support Teams in schools.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/2223486237782175/,-,-,-,3234,1843,6468,757,6468,5237,948,126.0,76.0,66.0,6.0,9.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMDY3MDUyMzYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-05 18:08:40,https://www.facebook.com/borisjohnson/posts/10158206705236317,"Today I spoke with young people from across the country, to hear about their experiences throughout the pandemic. 

We know that children and young people are incredibly resilient. But we also recognise that there are many who have been struggling. 

That is why we are today announcing a £79 million support package for youth mental health and wellbeing, including the accelerated roll out of Mental Health Support Teams in schools.",-,-,-,,-,-,ScheduledLiveVideoPost,-,-,-,-,1295,585,3604,169,3604,3101,340,66.0,50.0,37.0,6.0,4.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMDQ0NTEyNzEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-04 20:46:59,https://www.facebook.com/borisjohnson/posts/10158204451271317,"Brilliant trip up to Teesside with Chancellor Rishi Sunak.

A new Freeport here will create thousands of jobs. It’s all part of our plan to build back better and greener from the pandemic.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/436932694054215/,-,-,-,2095,1072,6469,472,6469,5726,534,57.0,107.0,32.0,2.0,11.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMDM5MjQyNzEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-04 15:41:39,https://www.facebook.com/borisjohnson/posts/10158203924271317,"From Scotch whisky distillers to Stilton-makers, the US decision to suspend tariffs on some UK exports today will benefit businesses right across the UK.
 
Fantastic news as we strengthen the UK-US trading relationship and work to build back better from the pandemic. https://www.bbc.co.uk/news/business-56279525",-,-,-,,-,-,Share,-,-,https://www.bbc.co.uk/news/business-56279525,US suspends tariffs on single malt Scotch whisky,2388,1022,10368,458,10368,9760,457,17.0,83.0,24.0,6.0,21.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMDMyOTIyMzYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-04 08:21:35,https://www.facebook.com/borisjohnson/posts/10158203292236317,"I’ve been doing all I can to lose weight, and I'm not only fitter and healthier but also happier for it. I know there are many people who have had a similar experience. 

So I'm pleased we’re investing £100 million into services to get the country healthier so we can all - quite literally - bounce back better.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/1689964757878616/,-,-,-,8461,6030,33719,3616,33719,27419,4959,135.0,911.0,234.0,6.0,55.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgyMDE5NDYxNTEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-03 15:09:17,https://www.facebook.com/borisjohnson/posts/10158201946151317,"Throughout the pandemic we stepped in to protect jobs and livelihoods. This Budget continues that support and sets out our plan for growth.

We're investing in innovation, skills and infrastructure to build back better, level up and unleash the potential of the United Kingdom.",UzpfSTE1NDAxOTg5MzYyNDk3OTQ6MjkwNjQ0OTA3OTYyNDc2Ng==,Rishi Sunak,https://www.facebook.com/rishisunak/,2021-03-03 13:32:37,https://www.facebook.com/rishisunak/posts/2906449079624766,"Click pause to read more about any of today’s #Budget2021 measures. 

An important moment is upon us.

A moment of challenge and of change.

Of difficulties, yes, but of possibilities too. This is a Budget that meets that moment.",-,-,-,-,-,2112,869,4073,245,4073,3561,340,52.0,94.0,19.0,5.0,2.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgxOTg1MjExNzYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-01 20:42:23,https://www.facebook.com/borisjohnson/posts/10158198521176317,"In Stoke-on-Trent today I saw the brilliant work being done to get children back to school safely next week. 
 
Getting children back in school is the best thing for their education, wellbeing and development.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/3762648753848225/,-,-,-,2605,1124,7241,618,7241,6275,746,51.0,92.0,64.0,5.0,8.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgxOTc0NzQ4NTYzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-03-01 09:09:02,https://www.facebook.com/borisjohnson/posts/10158197474856317,"I would like to wish people in Wales and Welsh people around the world a very happy St David's Day. 

Diolch for everything that you’re doing throughout this pandemic, and Dydd Gŵyl Dewi Hapus! 🏴󠁧󠁢󠁷󠁬󠁳󠁿",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/3887592817963536/,-,-,-,1291,652,6736,752,6736,5846,738,20.0,68.0,57.0,3.0,4.0
UzpfSTc5NzI5OTEzMTY6MTAxNTgxOTU5MzMxODEzMTc=,Boris Johnson,https://www.facebook.com/borisjohnson/,2021-02-28 15:10:22,https://www.facebook.com/borisjohnson/posts/10158195933181317,"20 million people across the UK have now got the jab – a huge national achievement and a testament to the tireless work of NHS staff, volunteers, the Armed Forces & many more. 

I urge everyone to get the jab when called. Every jab makes a difference in our battle against COVID.",-,-,-,,-,-,Video,https://www.facebook.com/borisjohnson/videos/2627728007524619/,-,-,-,2743,1091,9169,979,9169,7651,1249,45.0,97.0,73.0,16.0,38.0
